Grammar ,Translation,Structure,Level,PoS,Word Type,Example,Example Tran.,,,,,,,,,,,,,,,
subject pronouns,the,"yo, tu, el, ella",1,,,,,,,,,,,,,,,,,,,
y,and,A + y + B,1,,,,,,,,,,,,,,,,,,,
o,or,A + o + B,1,,,,,,,,,,,,,,,,,,,
Definite articles,the,"el, ella",1,,,,,,,,,,,,,,,,,,,
Indefinite articles,a ,"un, una",1,,,,,,,,,,,,,,,,,,,
negation with no,no,,1,,,,,,,,,,,,,,,,,,,
gender of nouns,,amigo/amiga,1,,,,,,,,,,,,,,,,,,,
basic verb form,"er, ir, ar",,1,,,,,,,,,,,,,,,,,,,
en,"in, at, on",,1,,,,,,,,,,,,,,,,,,,
a,"to, at",,1,,,,,,,,,,,,,,,,,,,
plural rules,,,1,,,,,,,,,,,,,,,,,,,
con,with,,1,,,,,,,,,,,,,,,,,,,
porque,because,,2,,,,,,,,,,,,,,,,,,,
pero,but,,2,,,,,,,,,,,,,,,,,,,
para,for,,2,,,,,,,,,,,,,,,,,,,
de,"of, from",,2,,,,,,,,,,,,,,,,,,,
hay,"there is, there are",,2,,,,,,,,,,,,,,,,,,,
-o for all verbs,,,2,,,,,,,,,,,,,,,,,,,
muy,very,,2,,,,,,,,,,,,,,,,,,,
ya,already,,2,,,,,,,,,,,,,,,,,,,
donde,where,,2,,,,,,,,,,,,,,,,,,,
quien,who,,2,,,,,,,,,,,,,,,,,,,
-es for -er,,,2,,,,,,,,,,,,,,,,,,,
-e for er,,,2,,,,,,,,,,,,,,,,,,,
-emos for -er,,,3,,,,,,,,,,,,,,,,,,,
-en for -er,,,3,,,,,,,,,,,,,,,,,,,
te,,te gusta,3,,,,,,,,,,,,,,,,,,,
me,,me gusta,3,,,,,,,,,,,,,,,,,,,
este/esta,this,,3,,,,,,,,,,,,,,,,,,,
estar,to be located,estar + location,3,,,,,,,,,,,,,,,,,,,
cuando,when,,3,,,,,,,,,,,,,,,,,,,
adjective,,noun + adjective,3,,,,,,,,,,,,,,,,,,,
cómo,how,,3,,,,,,,,,,,,,,,,,,,
siempre,always,,3,,,,,,,,,,,,,,,,,,,
qué,that,,3,,,,,,,,,,,,,,,,,,,
que,what,,3,,,,,,,,,,,,,,,,,,,
tener que,to have to,tener que + infinitive,4,,,,,,,,,,,,,,,,,,,
ese/esa,that,,4,,,,,,,,,,,,,,,,,,,
al,to the,a + el,4,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,,,,,,
del,from/of the,de + el,4,,,,,,,,,,,,,,,,,,,
-as for -ar,,,4,,,,,,,,,,,,,,,,,,,
-a for -ar,,,4,,,,,,,,,,,,,,,,,,,
-amos for -ar,,,4,,,,,,,,,,,,,,,,,,,
-an for -ar,,,4,,,,,,,,,,,,,,,,,,,
nunca,always,,4,,,,,,,,,,,,,,,,,,,
tambien,also/too,,4,,,,,,,,,,,,,,,,,,,
a veces,sometimes,,4,,,,,,,,,,,,,,,,,,,
-es for ir,,,5,,,,,,,,,,,,,,,,,,,
-e for ir,,,5,,,,,,,,,,,,Grammar ,Translation,Structure,Column 4,PoS,Word Type,Example,Example Tran.
-imos for ir,,,5,,,,,,,,,,,,subject pronouns,the,"yo, tu, el, ella",,,,,
-en for ir,,,5,,,,,,,,,,,,y,and,A + y + B,,,,,
despues,after,,5,,,,,,,,,,,,o,or,A + o + B,,,,,
antes,before,,5,,,,,,,,,,,,Definite articles,the,"el, ella",,,,,
tampoco,neither,,5,,,,,,,,,,,,Indefinite articles,a ,"un, una",,,,,
desde,since/from,,5,,,,,,,,,,,,negation with no,no,,,,,,
hasta,unti/to,,5,,,,,,,,,,,,gender of nouns,,amigo/amiga,,,,,
por,through/around,por + location,5,,,,,,,,,,,,basic verb form,"er, ir, ar",,,,,,
sin,without,,5,,,,,,,,,,,,en,"in, at, on",,,,,,
aquí,here,,5,,,,,,,,,,,,a,"to, at",,,,,,
,,,6,,,,,,,,,,,,plural rules,,,,,,,
,,,6,,,,,,,,,,,,con,with,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,,,,,,,,,
